condition,rate,seed,step,acc_all,acc_no_attractor,acc_attractor,attractor_gap,mean_surprisal_correct_bits,n_all,n_attractor,n_no_attractor,checkpoint
baseline,0.0,1,500,0.6808113426509915,0.6921983489147668,0.5445026178010471,0.1476957311137197,8.253138413124613,19819,1528,18291,lstm_baseline_seed1_step500.pt
baseline,0.0,1,1000,0.7088147737020031,0.7226504838445137,0.5431937172774869,0.1794567665670268,7.779151040057561,19819,1528,18291,lstm_baseline_seed1_step1000.pt
baseline,0.0,1,1500,0.7410061052525354,0.7592258487780876,0.5229057591623036,0.236320089615784,7.176098470850173,19819,1528,18291,lstm_baseline_seed1_step1500.pt
baseline,0.0,1,2000,0.7827841969826934,0.8047127002350883,0.5202879581151832,0.2844247421199051,6.7874146917287845,19819,1528,18291,lstm_baseline_seed1_step2000.pt
baseline,0.0,1,2500,0.8291538422725667,0.851457000710732,0.56217277486911,0.28928422584162206,6.633603178969732,19819,1528,18291,lstm_baseline_seed1_step2500.pt
baseline,0.0,1,3000,0.8634643523891216,0.886337543053961,0.5896596858638743,0.29667785719008666,6.370713968627529,19819,1528,18291,lstm_baseline_seed1_step3000.pt
baseline,0.0,1,3500,0.8872798829406126,0.9079328631567437,0.6400523560209425,0.26788050713580125,6.138298441357845,19819,1528,18291,lstm_baseline_seed1_step3500.pt
baseline,0.0,1,4000,0.9155355971542459,0.931551036028648,0.7238219895287958,0.20772904649985213,5.996974206212422,19819,1528,18291,lstm_baseline_seed1_step4000.pt
baseline,0.0,1,4500,0.9350623139411676,0.947187141216992,0.7899214659685864,0.15726567524840562,6.038946218862783,19819,1528,18291,lstm_baseline_seed1_step4500.pt
baseline,0.0,1,5000,0.9397547807659317,0.951834235416325,0.7951570680628273,0.15667716735349768,5.891390258215978,19819,1528,18291,lstm_baseline_seed1_step5000.pt
baseline,0.0,1,5500,0.9457086634038044,0.9568093597944344,0.81282722513089,0.14398213466354437,5.865078014829812,19819,1528,18291,lstm_baseline_seed1_step5500.pt
baseline,0.0,1,6000,0.9493919975780817,0.9585041823847794,0.8403141361256544,0.11819004625912499,5.661775533128744,19819,1528,18291,lstm_baseline_seed1_step6000.pt
baseline,0.0,1,6500,0.9530248751198345,0.9612924389043792,0.8540575916230366,0.10723484728134258,5.701511220190681,19819,1528,18291,lstm_baseline_seed1_step6500.pt
baseline,0.0,1,7000,0.9591805842878046,0.9652288010496965,0.8867801047120419,0.07844869633765461,5.561391607909065,19819,1528,18291,lstm_baseline_seed1_step7000.pt
baseline,0.0,1,7500,0.9634189414198496,0.9695478650702531,0.8900523560209425,0.07949550904931069,5.54752866784802,19819,1528,18291,lstm_baseline_seed1_step7500.pt
